Haber İsmi,Kategori
"Vogue Eyewear, göz alıcı yeni marka elçisi ve kreatif ortağı olan moda perisi, model Hailey Bieber ile yeni bir sezonun başlangıcını kutluyor. Hailey ile iş birliği içerisinde tasarlanan koleksiyonun ilk modelleri, otantik güzellik ile şöhret stilini bir araya getiriyor ve bu özel ortaklık ile kampanyayı beğenilerinize sunuyor.",Moda
"Giyim markası Kiğılı, İtalya’nın moda kenti Milano’da gerçekleştirilen Sì Sposaitalia Collezioni Milano Bridal Week’te tek Türk markası olarak podyumdaki yerini aldı.",Moda
"Pedikürler yapılsın, sandalet mevsimi artık kapıda! Aylarca yünlü çorapların ve deri çizmelerin içinde ayaklarımızı sakladıktan sonra artık nefes alma vakti. Peki 2022 yaz sezonuna hangi sandalet modelleri damga vuracak? İşte bu yaz her yerde göreceğiniz 2022 yaz sandalet trendleri! - PEMBENAR ÖZEL",Moda
"Tommy Hilfiger, 2022 İlkbahar Koleksiyonu’nu Tommy Hilfiger Mayadrom Showroom’da düzenlenen bir davetle tanıttı. Etkinlikte, Tommy Hilfiger Kadın, Tommy Hilfiger Erkek, Tommy Hilfiger Jeans, Tommy Hilfiger Icons, Tommy Hilfiger Ayakkabı ve Aksesuar koleksiyonları tanıtıldı.",Moda
"ModaTasarımcısı Murat Aytulum’un 34 çok özel parçadan oluşan FW22/23 koleksiyonu ‘”GEN” 16 Mart Çarşamba günü, Fashion Week Istanbul ev sahipliğinde Soho House Istanbul’da yapılan dijital defile ile izleyicilerle buluştu.",Moda
"Tarih hep tekerrürden ibaret, dün başkasıydı giden, bugün bir başkası... Asıl şimdi bambaşka bir hikaye yazmalı diğerlerinden farklı. Gidenleri anarak, gitmemek için and içmeye SON ÇAĞRI.",Moda
"2015 yılında mezun olduğu İstanbul Moda Akademisi’nin düzenlediği karma defile ile moda haftasında yer alarak profesyonel tasarımcılık hayatına başlayan Sezgi Tüzel, 2022-23 Sonbahar-Kış “The Other” koleksiyonunda kadın ve erkeğin birlikteliğinin yarattığı güçten yararlanıyor.",Moda
"2012’de kurulmuş olan İstanbul asıllı DB BERDAN, çevreye duyarlı ve yenilikçi Londra tabanlı bir marka olarak tanımlanıyor. Hiper sokak stilinin öncüsü olan DB BERDAN, hikayeleri kendi yaklaşımlarıyla anlatmayı seven bir tasarım markası. Sokak stilini aktif giyimle birleştiren DB BERDAN, modayı takip eden; ancak fonksiyonellikten ödün vermeyen kadınlara ithaf ediliyor.",Moda
"Hala pandemiden havalı etkinliklere geçişimizi tam olarak sağlayamamışken, bu geçiş dönemini bize rahat ve şık hissettiren parçalarla kurtarmak istiyoruz. Platform ayakkabı trendinin yükselişi de bunun bir sonucu olarak ortaya çıktı. Hem gündüz hem geceye uyum sağlayabilen, rahat ve şık olmasının yanı sıra romantik bir kaçış da yaratabilen Mary Jane platformlar havalı şehir kadınlarının 2022'deki ayakkabı tercihlerinde ilk sıralarda yer alacak.",Moda
"Türk tasarımcı Serdar Uzuntaş, Milano Erkek Moda Haftası’nda olimpik eskrim disiplininden ilham alan bir koleksiyonla yer aldı. Tasarımcı sürpriz yaparak ilk kez tasarladığı gözlük serisini de moda haftasında görücüye çıkarttı.",Moda
"2021 sonbahar/kış sezonuna şimdiden bazı ayakkabıların damga vurduğunu söylesek yanılmış olmayız. Klasikler, pratikler, iddialı stiller... 2021 sonbahar/kış sezonunda hepsi var. İşte hemen yatırım yapmanız gereken 2021 kış sezonunun en dikkat çeken ayakkabı trendleri! - PEMBENAR ÖZEL",Moda
Her zaman trendleri kovalayan bir modasever olsanız da bazen gardırobunuzu açtığınızda eliniz ne zaman satın aldığınızı bile hatırlamadığınız klasik parçalara gider ve bu parçalar sizi asla hayal kırıklığına uğratmaz. Bugün dersimiz klasiklerin sürdürülebilir bir moda anlayışındaki önemi ve modası geçmeyen klasik parçalar!,Moda
"Hırkalar yıllarca depresyon ""item""i olarak kullanılsa da ona sarıldığınızda verdiği sıcacık histen çok daha fazlasını yarabileceği pek çok moda gurusu tarafından kanıtlandı. Son iki yıldır sokak stilimizin vazgeçilmez bir parçası olmaya başaran hırkalar, ev-ofis stilinde de hayat kurtarıcı bir parça oldu. Biz de bu yüzden size hırkayla yapabileceğiniz kombin önerilerini derledik. Şimdi alın, bahar boyunca giyin. - PEMBENAR ÖZEL",Moda
"Güzel kıvrımlarınızı ve vücut şeklinizi vurgularken, zaten sahip olduğunuz parçaları ekleyerek veya yenilikçi bir şekilde vurgulayarak görünümünüzü yeniden keşfetmenin bazı yaratıcı yolları var. Kış tarzınızı tam teçhizata sokmaya hazırsanız kıvrımlı kadınlar için en iyi 8 kış kıyafetine göz atın. - PEMBENAR ÖZEL",Moda
"Akşam 7’den sabah 7’ye kendini şımartmayı ve özel hissetmeyi sevenlere adanmış olan Gece, ilk koleksiyonuyla gecenize peri tozu serpmeye geliyor.",Moda
"Nicolas Ghesquière sunumuyla Louis Vuitton İlkbahar/Yaz 2022 defilesi, katılımıyla Paris Moda Haftası kapsamında dün Louvre Müzesi'nde gerçekleşti. İşte Louis Vuitton İlkbahar/Yaz 2022 defilesinde öne çıkanlar!",Moda
"Chanel, nostaljik ve neşeli bir defileyle İlkbahar/Yaz 2022 koleksiyonunu bugün Paris'te tanıttı. Pandemi sonrası ilk kez seyircilerin katılımıyla gerçekleşen Chanel defilesinde modeller, İlkbahar/Yaz 2022 koleksiyonunu gülücükler ve öpücükler saçarak tanıttı. - PEMBENAR ÖZEL",Moda
"Donatella Versace, yine Milan Moda Haftası'na damgasını vurmadan duramadı. Donatella'nın yeni ilham perisi Dua Lipa'nın İlkbahar/Yaz 2022 şovunu açıp kapaması ve şova eşlik eden süpermodel ordusu Versace'ye yakışır muhteşem bir koleksiyona eşlik etti. İşte Versace'nin yıldız geçidi İlkbahar/Yaz 2022 defilesinde öne çıkanlar! - PEMBENAR ÖZEL",Moda
"Alberta Ferretti, yeniden doğuşu simgeleyen İlkbahar/Yaz 2022 sezonu için hazırladığı koleksiyonunu dün Milan Moda Haftası kapsamında sergiledi. İşte Alberta Ferretti İlkbahar/Yaz 2022 koleksiyonunda öne çıkan detaylar! - PEMBENAR ÖZEL",Moda
"İki karantina arasında Fendi'nin sanat yönetmeni olarak atanan ve ilk koleksiyonlarını dijital ortamda sunmak zorunda kalan Kim Jones, ilk canlı şovunu dün Milan Moda Haftası kapsamında gerçekleştirdi. İşte Fendi İlkbahar/Yaz 2022 koleksiyonu hakkında bilmeniz gerekenler! - PEMBENAR ÖZEL",Moda
"Tom Ford, payet, saten ve ışıltı ağırlıklı İlkbahar/Yaz 2022 koleksiyonuyla New York Moda Haftası'na ihtişam kattı. İşte Tom Ford İlkbahar/Yaz 2022 koleksiyonu hakkında bilmeniz gereken 5 şey! - PEMBENAR ÖZEL",Moda
"Covid-19 pandemisinin moda markaları üzerindeki etkisi tasarımcıdan tasarımcıya büyük farklılıklar gösteriyor. Michael Kors'un İlkbahar/Yaz 2022 koleksiyonu için podyumlara dönüşü deyim yerindeyse muhteşem oldu. Kendall Jenner'ın açtığı defilede Gigi Hadid, Irina Shayk ve Vittoria Ceretti gibi ünlü süpermodeller boy gösterdi. İşte Michael Kors İlkbahar/Yaz 2022 defilesinden satır başları! - PEMBENAR ÖZEL",Moda
"Özlem Süer White’ın Sonbahar/Kış koleksiyonu yeni dünyanın yeni konseptlerinden ilham alıyor. Koleksiyonda çağdaş bir yaklaşımla retro, romantik, tutkulu, yalın ama yine de görkemli gelinlikler yer alıyor.",Moda
"Şüphesiz tasarımcılar Sonbahar/Kış 2021 sezonu için olağanüstü şartlarda, geleceğe dair belirsizlik ve endişenin hakim olduğu bir ortamda, hayatları sonsuza dek değişmiş bir kitleye hitap etmek zorunda kaldı. Onların görevi umudu, heyecanı ve yaşam enerjisini yeşertmek; her türden başlangıcı, esnekliği ve büyümeyi başlatmak üzere meşale taşımaktı. Pek çoğu sanal ortamda birbirinden yaratıcı ve fütüristik biçimde koleksiyonlarını sergileyerek modanın başlatan, iyileştiren, kuralları baştan yazan gücünü gösterdiler. Elbette sezonun trendleri de bu bağlamda şekillendi. İşte yeni moda sezonuna damga vuracak Sonbahar/Kış 2021 trendleri! - Duygu Bay / PEMBENAR ÖZEL",Moda
"Yaz için doğru rengi giyinmek hem şık görünmek hem de serin kalmak için önemli. Herkesin kendine has bir tarz anlayışı olsa da bazı renkler, hem beden sıcaklığını ayarlamak hem de şık bir görünüm için mevsime göre yanlış olabilir. Peki yazın hangi renkleri giymekten kaçınmalı, hangi renkleri tercih etmeliyiz? Hangi kumaşlar yaza uygundur? Buz testiyle bir kıyafetin güneşle etkileşimini nasıl anlarız? Renklerin psikolojik olarak terletmesi mümkün mü? Bütün bu sorunların cevaplarını sizin için derledik! - PEMBENAR ÖZEL",Moda
"Yıldız isimler, 74. Cannes Film Festivali kapsamında geleneksel amfAR Cinema Against AIDS galasında bir araya geldiler. Her yıl olduğu gibi amfAR Gala Cannes 2021 de yıldız isimlerin şıklık yarışına sahne oldu. İşte amfAR Gala Cannes 2021'in en dikkat çekici görünümleri!",Moda
"74. Cannes Film Festivali'nin 11. gününde ""The Restless"" ve ""Emergency Declaration"" filmlerinin öngösterimleri ile ""Memoria"" filminin basın toplantıları gerçekleştirildi. İşte 74. Cannes Film Festivali 11. gününden en dikkat çekici kırmızı halı görünümleri!",Moda
"74. Cannes Film Festivali'inin 10. gününde ""France"" ve ""Memoria"" filminin gösterimleri yapıldı. Ünlü modeller şıklıklarıyla galaya damga vururken Türkiye'den Wilma Elles, Christophe Guillarme elbisesiyle göz kamaştıran isimler arasındaydı. İşte 2021 Cannes Film Festivali'nin 10. gününden en iddialı görünümler!",Moda
"74. Cannes Film Festivali'nin dokuzuncu gününde ünlü oyuncular ve modeller ""The Story of My Wife"" filminin galasında bir araya geldi. Türkiye'den Wilma Elles'in de katıldığı ""The Story of My Wife"" filmi galasından en şık görünümleri derledik.",Moda
"74. Cannes Film Festivali'nin sekizinci gününde ""Aline"" ve ""Titane"" filmlerinin öngösterimleri ile ""The French Dispatch"" ve ""BAC Nord"" filmlerinin basın toplantıları yapıldı. Gelin 74. Cannes Film Festivali'nin sekizinci gününden en şık görünümlere birlikte göz atalım!",Moda
"74. Cannes Film Festivali'nin yedinci gününe Wes Anderson'ın merakla beklenen filmi ""The French Dispatch"" damgasını vurdu. Festival kapsamında öngösterimi yapılan filmin kırmızı halısı yıldızlar geçidiydi. Günün devamında ise ""The Crusade"" ve ""BAC Nord"" filmleri sergilendi. İşte 74. Cannes Film Festivali yedinci gününden en şık kırmızı halı görünümleri!",Moda
"74. Cannes Film Festivali, ""Three Floors"" ve ""Bergman Island"" filmlerinin gösterimleri ve Kering Women In Motion Awards ile devam etti. ""Three Floors"" filminin galasına model Bella Hadid'in Schiaparelli imzalı elbisesi damga vurdu. İşte festivalin altıncı gününden en iddialı görünümler!",Moda
"74. Cannes Film Festivali kapsamında Cumartesi günü gösterimi yapılan ""Peaceful"" filminin galasında dünyaca ünlü süpermodeller ve oyuncular göz kamaştırdı. Günün finalinde ""Flag Day"" filminin gösterimi gerçekleşti. İşte 2021 Cannes Film Festivali'nin beşinci gününden en şık kırmızı halı görünümleri!",Moda
"Bu yıl 74'üncüsü düzenlenen Cannes Film Festivali, Fransa'nın Cannes kentinde devam ediyor. Festivalin dördüncü gününde ""Benedetta"" ve ""The Divide"" filmlerinin gösterimleri yapıldı. ""Benedetta"" filminin kırmızı halısı ünlü oyuncuların ve süpermodellerin şıklık yarışına sahne oldu. İşte 74. Cannes Film Festivali'nin dördüncü gününden en dikkat çeken kırmızı halı görünümleri!",Moda
"74. Cannes Film Festivali'nin üçüncü akşamında ""Stillwater"" ve ""The Worst Person In The World"" filmlerinin gösterimleri yapıldı. Süpermodellerin geçidine sahne olan kırmızı halının ihtişamına festival etkinlikleri ve fotoğraf çekimleriyle gündüz şıklığı da eklendi. İşte 2021 Cannes Film Festivali'nin üçüncü gününden ve ""Stillwater"" ile ""The Worst Person In The World"" filmlerinin galalarından en şık görünümler!",Moda
"74. Cannes Film Festivali ikinci gününde ""Everything Went Fine"", ""The Velvet Underground"" ve ""Jane By Charlotte"" filmlerinin gösterimleri yapılırken dünyaca ünlü oyuncular ve süpermodeller kırmızı halıyı salladı. Candice Swanepoel, Diane Kruger, Isabelle Huppert gibi isimlerin damga vurduğu festivalin ikinci gününde kırmızı halıda siyah ve beyaz tonları hakimdi. İşte 2021 Cannes Film Festivali ikinci gününün en şıkları!",Moda
"Fransa'da Kovid-19 kısıtlamaları hafiflerken, Salı günü Paris Moda Haftası'nda Chanel'in Empresyonist esinli haute couture şovunu rengarenk çiçekler, payetler ve tüyler süsledi. İşte Chanel Sonbahar/Kış 2021 Couture koleksiyonu hakkında bilmeniz gerekenler! - PEMBENAR ÖZEL",Moda
"Dior, Sonbahar/Kış 2021 Couture defilesi için pandemi sonrası ilk kez canlı seyirciyle buluştu. Fransız modaevi, limitli bir seyirciyle de olsa pandemi öncesi görkemini geri getiren bir şovla Paris Moda Haftası'nı açtı. İşte defileden satır başları! - PEMBENAR ÖZEL",Moda
"Geçen yılki talihsiz iptalinden sonra Cannes Film Festivali, tüm ihtişamıyla geri döndü. ""Annette"" filmi ile açılan 2021 Cannes Film Festivali'nin kırmızı halısı Bella Hadid ve Candice Swanepoel gibi süpermodellerin yanı sıra Jessica Chastain, Marion Cotillard, Maggie Gyllenhaal, Jodie Foster gibi yıldız oyuncuların geçidine de sahne oldu. İşte 74. Cannes Film Festivali açılış gecesinden en dikkat çekici görünümler...",Moda
"Maria Grazia Chiuri, The Dior Cruise 2022 koleksiyonunu dün Atina'da Cara Delevingne, Anya Taylor Joy, Catherine Deneuve ve Suki Waterhouse gibi ünlü isimlerin katıldığı şov ile tanıttı. İşte front row ve koleksiyondan görüntüler...",Moda
"Nicolas Ghesquière, Louis Vuitton'un 2022 Cruise şovunu Fransa'daki Cergy-Pontoise'a götürdü ve İsrailli sanatçı Dani Karavan'ın tasarımcının ulaşım, diğer dünyalara açılan portallar ve yeni başlangıçlar keşfetmesinde mükemmel bir rol oynayan başyapıtı Axe Majeur'unda sahneledi.",Moda
"Moda ve tasarım serüveninde 30 yılı geride bırakan Özlem Süer, 2021 İlkbahar – Yaz gelinlik koleksiyonu içinde yer alan FLU koleksiyonunu düzenlenen toplantıda tanıttı.",Moda
"Ayaklarımızın ayakkabıları özlediğini itiraf edelim. Gardıroplarımızdaki en şık parçaları ihmal etmekle geçen oldukça uzun bir sürenin ardından, ister en sevdiğiniz renkli topuklu ayakkabıların tozunu atmak ister sepetinize birkaç yenisini eklemek olsun, taze stilleri yeniden benimsemeye başlamak iyi hissettiriyor. Öyleyse bu yaz herkesin ayağında göreceğimiz 2021 ayakkabı trendlerine göz atalım! İşte yaza damga vuracak 2021 yaz ayakkabı trendleri... - PEMBENAR ÖZEL",Moda
"Yaz ruhunu yansıtan birbirinden şık çantaların da zamanı geldi. Üstelik kısıtlamaların biraz olsun azalmasıyla artık çanta taşımak için bir sebebimiz var. Öyleyse gelin, bu yazın en popüler 4 çanta trendine göz atalım! - PEMBENAR ÖZEL",Moda
Uzunca bir pandemi sürecinin ardından hepimizin biraz pozitif enerjiye ve neşeye ihtiyacımız var. İlkbahar/Yaz 2021 koleksiyonları ve satın aldıklarımız da bunu kanıtlıyor. Odağımızdaki pozitif renk ise parlak pembe. - PEMBENAR ÖZEL,Moda
"Bir zaman kapsülünden çıkmış gibi görünen gökkuşağı renklerine ve maksimal baskılara hazır olun! 2021 trendleri, hem moda hem de ev dekorasyonunda 60'lar ve 70'ler stiline ikinci bir hayat veriyor! Nostaljiyi kucaklamaya ve 60'ların ve 70'lerin modasına bir şans daha vermeye hazırsanız işte 2021 yazının geri getirdiği 9 retro trend... - PEMBENAR ÖZEL",Moda
"Aynı anda zahmetsizce havalı, rahat ve sofistike. NYC kızları, ihtiyaç duyduğumuzu asla bilmediğimiz, kalabalığın arasından sıyrılmamız ve aynı zamanda rahat ve pratik olabilmemiz için bize tüm temel stil kurallarını öğreten asi ablalarımız gibi. Bu havalı stillerinin en önemli sırrı ise özgüven. İşte New York kızlarından öğrenebileceğiniz 10 stil ipucu! - PEMBENAR ÖZEL",Moda
"Mehtap Elaidi, Fashion Week Istanbul (FWI) kapsamında 15 Nisan Perşembe günü Sonbahar/Kış 2021 koleksiyon filmini Fashionweek.istanbul adresinde sundu.",Moda
"Tasarımcı Murat Aytulum’un 30 çok özel parçadan oluşan vegan ve yıkanabilir koleksiyonu ‘Self Discipline’, 15 Nisan Perşembe günü, Fashion Week Istanbul internet sitesi ve sosyal medya hesapları üzerinden yapılan dijital yayınla izleyicilerle buluştu.",Moda
"Meltem Özbek Sonbahar/Kış 2021 koleksiyonunu, dijital platformlar üzerinden gerçekleşen Fashion Week Istanbul kapsamında 14 Nisan Çarşamba günü sundu. 13-16 Nisan tarihleri arasında tamamen dijital platformlarda gerçekleşen Fashion Week Istanbul kapsamında, Meltem Özbek Sonbahar/Kış 2021 koleksiyon filmi fashionweek.istanbul adresinde yayınlandı.",Moda
"Şansım Adalı markası Sudi Etuz’un SK21 koleksiyonunun defilesini, dijital olarak gerçekleşen Fashion Week Istanbul kapsamında, 14 Nisan Çarşamba günü sundu. Koleksiyon Asya florasına, Türk mitolojisine ve “Arcade” oyun dünyasına digital bir övgü niteliği taşıyor. Moda distopyası ile Şansım, SK21 Koleksiyonu ile bizi bir “underground arcade” yolculuğuna çıkarıyor. Zihnimizi siber oyun dünyasına taşırken, renkleriyle bizi dijital gerçekliğe götürüyor.",Moda
"Fashion Week Istanbul ikinci günü Nej defilesi ile açıldı. Nej, “Circle” koleksiyonu ile yaşam ağacının köklerinden gezegenin yeniden doğuşunu anlatıyor.",Moda
"Lug Von Siga SS 2021 koleksiyonunu, dijital platformlar üzerinden gerçekleşen Fashion Week Istanbul kapsamında 13 Nisan Salı günü sundu.",Moda
"Ceren Ocak Sonbahar/Kış 2021 koleksiyonunu, dijital platformlar üzerinden gerçekleşen Fashion Week Istanbul kapsamında 13 Nisan Salı günü 12:30’da sundu.",Moda
"Niyazi Erdoğan’ın 2021 Sonbahar/Kış koleksiyonu, geçmiş sezonlarda olduğu gibi lokal değerlere atıfta bulunarak, bu kez “İstikbali göklerde arayan” Baştayyareci Vecihi Hürkuş’tan ilham alıyor. Tasarımcının Fashion Week Istanbul (FWI) kapsamında hazırladığı koleksiyon, Türk havacılık tarihinin bu özel kahramanına da bir saygı duruşu niteliğinde.",Moda
2021 BAFTA Ödülleri -veya 74. İngiliz Akademi Film Ödülleri- dün gece Londra'daki Royal Albert Hall'da seyircisiz olarak düzenlenen törenle sahiplerini buldu. Sadece ödül sunanların fiziksel olarak katıldığı törende adaylar ve kazananlar video ile bağlansa da kırmızı halı her zamanki ihtişamını korudu. İşte geceden en dikkat çekici kırmızı halı görünümleri! - PEMBENAR ÖZEL,Moda
"Bu sezon 13-16 Nisan tarihleri arasında dijital olarak gerçekleşecek Fashion Week Istanbul, modanın görsel sanatla buluştuğu kısa filmlerle sınırları aşmaya ve tüm dünya ile buluşmaya hazır. İstanbul’un evrensel ve birleştirici yönünden ilham alarak çok sesli bir atmosferle karşımıza çıkacak olan Fashion Week Istanbul, kapsayıcılığı ile yaratıcı dünyanın buluşma noktası olacak.",Moda
"Mikro çantaların ve bagetlerin hüküm sürdüğü bir dönem vardı ancak bu pandemiden önceydi. Ancak bu yıl yavaş yavaş evimizden dışarı çıkarken devasa çantaları da beraberimizde taşıyacağız. Ne de olsa artık dezenfektanlar, maskeler, vitaminler gibi yanımızda taşımamız gereken daha fazla şey var. - PEMBENAR ÖZEL",Moda
"Hem tarzı hem de güzelliği ile beğenileri toplayan influencer Sibil Çetinkaya, moda anlayışı hakkında merak edilen soruları cevapladı. İşte Sibil Çetinkaya'nın olmazsa olmazları...",Moda
"Moda tarihinin en iyi trendlerinden bazıları gibi bu yazın trendi de moda severleri ikiye bölecek. Başlangıçta dantele ucuz bir alternatif olarak kabul edilen tığ işi, II.Dünya Savaşı sırasında değerli bir onarma tekniği olarak karşımıza çıktı. 1960'lı yıllar moda dünyasında ise kendi başına bir hayat kurdu. İşte bu yazın ''Büyükanne'' trendi hakkında her şey...",Moda
"Trendler sadece size yol göstermek için varlar. Tek sezonluk, alışılmadık ve güncel bir şeyi tercih etmek yerine, kişisel tarzınızı tamamlayan zamansız parçalara yatırım yapmak vicdanınız ve cüzdanınız için çok daha iyidir. Bu yüzden kendinize özel bahar kapsül gardırobunuzu oluşturmanız için bir rehber hazırladık. - PEMBENAR ÖZEL",Moda
"Louis Vuitton Sonbahar/Kış 2021 koleksiyonu dün Paris Moda Haftası kapsamında sergilenirken Louis Vuitton, son iş birliği ile ünlü İtalyan artistik tasarım atölyesi Fornasetti’nin eşsiz yaratıcı dünyasını keşfe çıkıyor.",Moda
"Markanın Artistik Direktörü Virginie Viard, yıllar sonra Chanel şovunu Grand Palais dışına taşıdı. 70'lerin Parizyen şıklığını kayak ruhuyla birleştirdiği Chanel Sonbahar/Kış 2021 koleksiyonunu efsanevi Castel gece kulübünde sergiledi. - PEMBENAR ÖZEL",Moda
"""Güzel ve Çirkin""den ""Alice Harikalar Diyarı'nda""ya, Maria Grazia Chiuri Dior Sonbahar/Kış 2021 hazır giyim koleksiyonu için peri masallarının dünyasını yeniden keşfediyor. Bir semboller ağı olan bu fantezi dünyaları, bir kaçış yolu olmaktan öte, stereotiplerin ötesinde sorgulamaya ve meydan okumaya hizmet ediyor. - PEMBENAR ÖZEL",Moda
"Versace, Sonbahar/Kış 2021 defilesini her zamanki gibi Milan Moda Haftası kapsamında sergilemek yerine üç gün sonra gerçekleştirdi. Geçtiğimiz günlerde gerçekleşen defile, yeni sezonun trendlerine dair ipuçları verdi. Biz de sanal defileden dikkat çekici satır başlarını bir araya getirdik. - PEMBENAR ÖZEL",Moda
"Missoni ve Fendi defileleriyle açılan Milan Moda Haftası, Kovid-19 salgını nedeniyle bir kez daha uğultulu podyumlarda dijital sunumlarla gerçekleşti. İşte Sonbahar/Kış 2021-22 Milan Moda Haftası'ndan akılda kalan notlar... - PEMBENAR ÖZEL",Moda
"2021 İlkbahar/Yaz koleksiyonlarını incelerken yaratıldıkları dünyayı ve tasarımcıların ruh hallerini iyi analiz etmek gerekiyor. 2021'in trendlerini pandemi şartlarının oluşturduğu bir gerçek. 2020 boyunca deneyimlediğimiz kaygılarımız, bireysel konfor alanımız, çeşitli fantezilerimiz, özgürlük arzumuz ve daha birçok faktör 2021 İlkbahar/Yaz trendlerini oluşturdu. Sezonun trendlerini incelerken pandeminin moda tasarımcıların yaratıcı zekalarında nasıl şekil aldığını ve dışavurumlarını göreceğiz. - Duygu Bay / PembeNar Özel",Moda
"2021'in Altın Küre Ödülleri pandemi gölgesinde sahiplerini bulurken ödüller canlı bağlantılarla dağıtıldı. Yeni normalin yeni nesil töreni ""sanal kırmızı halı""sıyla da göz kamaştırdı. İşte 78. Altın Küre Ödülleri'nin kırmızı halısının en iyi stilleri... - PEMBENAR ÖZEL",Moda
